nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
PANTONE 7403 C,0.00,6.00,30.00,1.00,0.00,4.00,30.00,1.00
PANTONE 7404 C,0.00,0.90,80.00,0.00,0.00,0.90,80.00,0.00
PANTONE 7405 C,0.00,3.00,90.00,1.00,0.00,3.00,90.00,1.00
PANTONE 7406 C,0.00,9.00,74.00,0.00,0.00,6.00,59.00,0.00
PANTONE 7406 U,2.00,6.50,82.00,0.00,2.00,6.50,82.00,0.00
PANTONE 7407 C,9.00,20.00,60.00,0.00,9.00,18.00,60.00,0.00
PANTONE 7408 C,2.00,6.00,96.00,0.00,2.00,6.00,96.00,0.00
PANTONE 7409 C,2.00,14.00,100.00,0.00,2.00,14.00,100.00,0.00
PANTONE 7411 C,0.00,18.00,41.00,5.00,0.00,16.00,41.00,3.00
PANTONE 7412 C,8.00,28.00,80.00,1.00,8.00,28.00,80.00,1.00
PANTONE 7413 C,7.00,36.00,100.00,0.00,7.00,36.00,100.00,0.00
PANTONE 7414 C,19.00,42.00,100.00,0.00,19.00,42.00,100.00,0.00
PANTONE 7416 C,0.00,46.00,45.00,0.00,0.00,46.00,45.00,0.00
PANTONE 7417 C,0.00,60.00,66.00,0.00,0.00,60.00,64.00,0.00
PANTONE 7421 C,0.00,80.00,69.00,42.00,0.00,80.00,69.00,42.00
PANTONE 7424 C,13.00,74.00,0.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7425 C,13.50,67.00,22.50,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7426 C,18.00,89.00,30.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7427 C,3.00,80.00,62.00,26.00,0.00,80.00,62.00,23.00
PANTONE 7433 C,19.00,87.00,6.00,3.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7443 C,8.00,5.00,0.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7444 C,10.00,5.50,0.50,0.00,10.00,5.50,0.50,0.00
PANTONE 7447 C,66.00,51.00,20.00,0.00,66.00,51.00,20.00,0.00
PANTONE 7449 C,55.00,90.00,25.00,50.00,55.00,90.00,25.00,50.00
PANTONE 7455 C,68.00,24.00,0.00,0.00,68.00,24.00,0.00,0.00
PANTONE 7456 C,52.00,24.00,0.00,0.00,52.00,24.00,0.00,0.00
PANTONE 7457 C,12.00,0.00,7.00,0.00,6.00,0.00,1.50,0.00
PANTONE 7458 C,34.00,2.00,8.00,4.00,34.00,2.00,4.00,4.00
PANTONE 7459 C,50.00,4.00,12.00,4.00,50.00,4.00,8.00,2.00
PANTONE 7461 C,60.00,4.00,7.00,0.00,60.00,4.00,5.00,0.00
PANTONE 7462 C,75.00,24.00,15.00,0.00,77.00,24.00,13.00,0.00
PANTONE 7463 C,100.00,48.00,22.00,40.00,100.00,48.00,22.00,40.00
PANTONE 7466 C,55.00,0.00,19.00,0.00,60.00,0.00,16.00,0.00
PANTONE 7467 C,60.00,0.00,21.00,0.00,46.00,0.00,16.00,0.00
PANTONE 7468 C,79.00,0.00,22.00,0.00,76.00,0.00,16.00,0.00
PANTONE 7469 C,96.00,13.00,30.00,0.00,96.00,13.00,30.00,0.00
PANTONE 7470 C,96.00,24.00,44.00,0.00,96.00,24.00,40.00,0.00
PANTONE 7471 C,23.00,0.00,14.00,0.00,19.00,0.00,8.00,0.00
PANTONE 7472 C,37.00,0.00,18.00,0.00,36.00,0.00,12.00,0.00
PANTONE 7473 C,54.00,2.00,34.00,0.00,54.00,2.00,30.00,0.00
PANTONE 7474 C,74.00,0.00,34.00,0.00,74.00,0.00,34.00,0.00
PANTONE 7475 C,66.00,22.00,40.00,0.00,66.00,22.00,40.00,0.00
PANTONE 7476 C,90.00,0.00,50.00,17.00,100.00,0.00,50.00,17.00
PANTONE 7477 C,85.00,0.00,40.00,35.00,95.00,0.00,40.00,30.00
PANTONE 7480 C,41.00,0.00,40.00,0.00,38.00,0.00,40.00,0.00
PANTONE 7482 C,57.00,0.00,64.00,0.00,57.00,0.00,60.00,0.00
PANTONE 7483 C,76.00,17.00,100.00,3.00,76.00,17.00,100.00,1.00
PANTONE 7485 C,9.00,0.00,26.00,0.00,2.00,0.00,11.00,1.00
PANTONE 7486 C,17.00,0.00,38.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7487 C,20.00,0.00,49.00,0.00,16.00,0.00,44.00,0.00
PANTONE 7488 C,24.00,0.00,59.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7489 C,36.00,4.00,76.00,0.00,36.00,4.00,66.00,0.00
PANTONE 7491 C,38.00,20.00,83.00,0.00,40.00,20.00,78.00,0.00
PANTONE 7492 C,10.00,3.00,36.00,0.00,9.00,3.00,28.00,0.00
PANTONE 7494 C,17.00,6.00,22.00,4.00,18.00,6.00,22.00,0.00
PANTONE 7495 C,28.00,16.00,100.00,0.00,34.00,16.00,100.00,0.00
PANTONE 7496 C,39.50,16.00,100.00,0.00,39.50,16.00,100.00,0.00
PANTONE 7497 C,44.00,37.00,65.00,2.00,44.00,37.00,65.00,2.00
PANTONE 7498 C,56.00,37.00,100.00,0.00,56.00,37.00,100.00,0.00
PANTONE 7499 C,2.00,3.00,17.00,1.00,0.60,1.80,10.00,0.00
PANTONE 7500 C,2.00,3.00,15.00,2.00,2.50,3.00,10.00,0.10
PANTONE 7501 C,2.00,5.00,20.00,1.00,2.00,5.00,20.00,1.00
PANTONE 7502 C,7.00,11.00,25.00,0.00,7.00,9.50,25.00,0.00
PANTONE 7503 C,20.00,21.00,44.00,0.00,24.00,20.00,42.00,0.00
PANTONE 7504 C,30.00,35.00,46.00,0.00,30.00,35.00,46.00,0.00
PANTONE 7506 C,2.00,5.00,14.00,0.00,1.00,3.50,10.00,0.00
PANTONE 7508 C,0.00,13.00,35.00,3.50,0.00,9.50,35.00,3.50
PANTONE 7510 C,11.00,30.00,60.00,0.00,11.00,30.00,60.00,0.00
PANTONE 7515 C,11.00,22.00,33.00,0.00,11.00,22.00,33.00,0.00
PANTONE 7518 C,48.00,59.00,70.00,0.00,64.00,68.00,80.00,0.00
PANTONE 7519 C,63.00,58.00,76.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7527 C,2.00,1.00,11.00,7.00,4.50,4.00,10.00,1.00
PANTONE 7529 C,3.00,6.00,13.00,15.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7530 C,5.00,7.00,14.00,17.00,0.00,5.00,12.00,12.00
PANTONE 7531 C,13.00,24.00,46.00,31.00,8.00,22.00,50.00,30.00
PANTONE 7532 C,25.00,30.00,52.00,38.00,20.00,30.00,54.00,38.00
PANTONE 7533 C,65.00,60.00,78.00,0.00,65.00,60.00,78.00,0.00
PANTONE 7539 C,8.00,0.00,15.00,32.00,27.00,16.00,20.00,0.00
PANTONE 7540 C,38.00,20.00,20.00,45.00,8.00,0.00,5.00,58.00
PANTONE 7541 C,5.00,0.00,5.00,2.00,0.70,0.00,0.40,1.00
PANTONE 7543 C,9.00,0.00,5.00,18.00,6.00,1.00,1.00,8.00
PANTONE 7544 C,14.00,0.00,5.00,28.00,15.00,0.00,0.00,22.00
PANTONE 7545 C,58.00,17.00,0.00,50.00,64.00,0.80,0.60,52.00
PANTONE 7546 C,90.00,4.00,6.00,62.00,90.00,4.00,6.00,55.00
PANTONE 7547 C,90.00,56.00,60.00,30.00,85.00,56.00,60.00,0.00
PANTONE 7548 C,0.00,8.00,87.00,0.00,0.00,4.00,87.00,0.00
PANTONE 7549 C,0.00,12.00,93.00,0.00,0.00,6.50,89.50,0.00
PANTONE 7550 C,13.00,25.00,100.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7551 C,15.00,25.00,100.00,7.00,11.00,25.00,100.00,6.00
PANTONE 7556 C,20.00,28.00,100.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7557 C,31.00,34.00,100.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7558 C,2.00,19.00,92.00,27.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7564 C,3.00,28.00,93.00,9.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7571 C,5.00,30.00,90.00,10.00,2.00,30.00,90.00,7.00
PANTONE 7575 C,38.00,46.00,100.00,3.00,38.00,46.00,100.00,3.00
PANTONE 7584 C,1.00,40.00,98.00,17.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7597 C,7.00,50.00,75.00,0.00,7.00,50.00,75.00,0.00
PANTONE 7619 C,7.00,59.00,75.00,5.00,5.00,59.00,72.00,5.00
PANTONE 7621 C,5.00,61.00,55.00,15.00,0.00,61.00,54.00,15.00
PANTONE 7622 C,5.00,68.00,54.00,24.00,0.00,68.00,54.00,24.00
PANTONE 7623 C,8.00,80.00,75.00,28.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7625 C,5.00,51.00,65.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7626 C,5.00,88.00,37.00,12.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7638 C,0.00,85.00,35.00,39.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7656 C,40.00,79.00,0.00,0.00,40.00,79.00,0.00,0.00
PANTONE 7676 C,44.00,37.00,3.00,0.00,44.00,37.00,3.00,0.00
PANTONE 7682 C,40.00,13.50,0.00,7.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7683 C,62.00,25.00,0.00,6.00,62.00,25.00,0.00,6.00
PANTONE 7684 C,71.00,34.00,5.00,0.00,71.00,34.00,5.00,0.00
PANTONE 7685 C,78.00,40.00,10.00,0.00,78.00,40.00,10.00,0.00
PANTONE 7686 C,96.00,30.00,5.00,5.00,96.00,30.00,5.00,5.00
PANTONE 7687 C,98.00,49.00,5.00,5.00,98.00,49.00,5.00,5.00
PANTONE 7688 C,49.00,4.00,4.00,2.00,52.00,4.00,3.00,0.00
PANTONE 7689 C,57.00,4.00,4.00,2.00,60.00,4.00,3.00,0.00
PANTONE 7691 C,75.00,26.00,14.00,0.00,75.00,26.00,14.00,0.00
PANTONE 7693 C,91.00,37.00,20.00,10.00,91.00,37.00,20.00,10.00
PANTONE 7694 C,99.00,41.00,25.00,25.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7698 C,50.00,21.00,18.00,2.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7700 C,84.00,34.00,37.00,0.00,84.00,34.00,37.00,0.00
PANTONE 7701 C,96.00,24.00,34.00,0.00,96.00,24.00,34.00,0.00
PANTONE 7704 C,70.00,0.00,20.00,0.00,70.00,0.00,20.00,0.00
PANTONE 7707 C,92.00,0.00,23.00,21.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7724 C,59.00,0.00,44.00,0.00,60.00,0.00,47.00,0.00
PANTONE 7731 C,75.00,0.00,100.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7737 C,36.00,0.00,82.00,0.00,36.00,0.00,82.00,0.00
PANTONE 7738 C,42.00,0.00,68.00,0.00,46.50,0.00,63.00,0.00
PANTONE 7739 C,47.00,0.00,80.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7740 C,55.00,0.00,100.00,2.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7741 C,55.00,0.00,100.00,20.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7742 C,56.00,0.00,100.00,27.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7743 C,57.00,0.00,100.00,35.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 7755 C,38.00,33.00,100.00,1.00,38.00,33.00,100.00,1.00
PANTONE 7763 C,59.00,37.00,100.00,4.00,59.00,37.00,100.00,4.00
PANTONE 8004 C,42.00,34.00,40.00,0.00,42.00,34.00,40.00,0.00
PANTONE 803 C,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00
PANTONE 8201 C,36.00,11.00,14.00,3.00,36.00,11.00,11.00,0.00
PANTONE 8640 C,3.00,30.00,90.00,30.00,1.00,33.00,89.00,24.00
PANTONE 871 C,26.00,26.00,60.00,0.00,26.00,26.00,60.00,0.00
PANTONE 872 C,26.00,26.00,58.00,0.00,26.00,26.00,58.00,0.00
PANTONE 873 C,26.00,32.00,56.00,0.00,26.00,32.00,56.00,0.00
PANTONE 874 C,36.00,40.00,80.00,0.00,36.00,40.00,80.00,0.00
PANTONE 876 C,32.00,45.00,80.00,0.00,32.00,45.00,80.00,0.00
PANTONE 877 C,3.00,1.00,1.00,15.00,3.00,1.00,1.00,15.00
PANTONE Black 2 C,76.00,68.00,100.00,0.00,76.00,68.00,100.00,0.00
PANTONE Black 3 C,44.00,0.00,10.00,92.00,0.00,0.00,0.00,94.00
PANTONE Black 4 C,0.00,30.00,80.00,73.00,0.00,40.00,80.00,73.00
PANTONE Black 5 C,68.00,68.00,70.00,0.00,68.00,68.00,70.00,0.00
PANTONE Black 6 C,72.00,0.00,30.00,87.00,72.00,0.00,30.00,87.00
PANTONE Black 7 C,30.00,6.00,18.00,52.00,7.00,7.00,18.00,48.00
PANTONE Black C,44.00,0.00,7.00,91.00,0.00,0.00,0.00,88.00
PANTONE Blue 072 C,100.00,50.00,0.00,0.00,100.00,50.00,0.00,0.00
PANTONE Blue 0821 C,33.00,0.00,7.00,0.00,28.00,0.00,3.00,0.00
PANTONE Cool Gray 1 C,1.00,0.00,4.00,3.00,5.00,3.00,4.00,0.00
PANTONE Cool Gray 10 C,14.00,0.00,10.00,38.00,1.00,0.00,1.00,38.00
PANTONE Cool Gray 10 U,19.00,7.00,7.00,29.00,19.00,7.00,7.00,29.00
PANTONE Cool Gray 11 C,18.00,0.00,10.00,46.00,46.50,31.00,35.00,17.00
PANTONE Cool Gray 2 C,1.00,0.00,4.00,5.00,1.00,0.00,1.00,2.00
PANTONE Cool Gray 3 C,2.00,0.00,5.00,6.00,1.00,0.00,1.00,4.00
PANTONE Cool Gray 4 C,2.00,0.00,5.00,11.00,1.00,0.00,1.00,6.00
PANTONE Cool Gray 4 U,8.00,4.00,6.00,3.00,8.00,4.00,6.00,3.00
PANTONE Cool Gray 5 C,3.00,0.00,5.00,15.00,0.50,0.00,2.50,9.00
PANTONE Cool Gray 6 C,4.00,0.00,5.00,16.00,1.00,0.00,1.00,11.00
PANTONE Cool Gray 7 C,5.00,0.00,5.00,20.00,2.00,1.20,2.70,21.00
PANTONE Cool Gray 8 C,6.00,0.00,7.00,24.00,1.00,0.00,1.00,20.00
PANTONE Cool Gray 9 C,10.00,0.00,10.00,32.00,2.00,3.00,6.00,29.00
PANTONE Green C,49.00,0.00,31.00,0.00,48.00,0.00,30.00,0.00
PANTONE Green M,59.00,0.00,41.00,0.00,56.00,0.00,40.00,0.00
PANTONE Hexachrome Green C,44.00,0.00,56.00,0.00,44.00,0.00,54.00,0.00
PANTONE Hexachrome Magenta C,0.00,69.00,0.00,0.00,0.00,69.00,0.00,0.00
PANTONE Hexachrome Yellow C,0.00,0.50,100.00,0.00,0.00,0.50,100.00,0.00
PANTONE Neutral Black C,0.00,0.00,0.00,94.00,0.00,0.00,0.00,94.00
PANTONE Orange 021 C,0.00,44.00,89.00,0.00,0.00,44.00,89.00,0.00
PANTONE Pink C,17.00,61.00,0.00,0.00,12.00,60.00,0.00,0.00
PANTONE Process Blue C,90.00,0.00,12.50,0.00,79.00,0.00,8.00,0.00
PANTONE Process Cyan C,68.00,0.00,8.00,0.00,68.00,0.00,8.00,0.00
PANTONE Process Cyan U,66.00,0.00,4.80,0.00,66.00,0.00,4.80,0.00
PANTONE Process Magenta C,7.00,68.00,0.00,2.00,4.00,68.00,0.00,0.00
PANTONE Process Majenta C,7.00,68.00,0.00,2.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE Purple C,33.00,49.00,0.00,0.00,28.00,46.00,0.00,0.00
PANTONE Red 032 C,1.00,64.00,60.00,0.00,1.00,64.00,60.00,0.00
PANTONE Red 032 M,0.00,90.00,86.00,0.00,0.00,90.00,86.00,0.00
PANTONE Red 032 U,0.00,49.50,38.00,0.00,0.00,49.50,38.00,0.00
PANTONE Reflex Blue C,100.00,46.00,0.00,0.00,100.00,44.00,0.00,0.00
PANTONE Reflex blue C,100.00,46.00,0.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE Rhodamine Red C,4.00,52.00,0.00,0.00,4.00,52.00,0.00,0.00
PANTONE Rubine Red C,0.00,90.00,13.00,3.00,0.00,90.00,13.00,3.00
PANTONE Violet C,85.00,70.00,0.00,0.00,85.00,70.00,0.00,0.00
PANTONE Warm Gray 1 C,1.00,1.00,7.00,6.00,1.00,1.00,3.00,3.00
PANTONE Warm Gray 10 C,3.00,1.00,17.00,38.00,1.00,8.00,22.00,30.00
PANTONE Warm Gray 11 C,3.00,1.00,19.00,40.00,1.00,9.50,23.00,32.50
PANTONE Warm Gray 2 C,1.00,1.00,7.00,10.00,1.00,1.00,3.00,4.00
PANTONE Warm Gray 3 C,1.00,1.00,8.00,13.00,0.00,2.00,4.00,6.00
PANTONE Warm Gray 4 C,1.00,1.00,9.00,15.00,0.00,2.00,4.00,8.00
PANTONE Warm Gray 5 C,1.00,1.00,9.00,19.00,0.00,3.00,9.00,13.00
PANTONE Warm Gray 6 C,1.00,1.00,10.00,21.00,0.00,2.00,6.50,12.00
PANTONE Warm Gray 7 C,3.00,1.00,12.00,25.00,1.00,4.00,12.00,21.00
PANTONE Warm Gray 8 C,3.00,1.00,12.00,30.00,0.00,5.00,12.00,23.00
PANTONE Warm Gray 9 C,3.00,1.00,14.00,32.00,0.00,5.50,12.00,25.00
PANTONE Warm Red C,0.00,55.00,71.00,0.00,0.00,55.00,71.00,0.00
PANTONE Yellow 012 C,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00
PANTONE Yellow 12 C,0.00,0.00,100.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE Yellow C,0.00,0.00,89.00,0.00,0.00,0.00,89.00,0.00
PNK,2.50,8.00,8.00,0.50,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
Vert marge securite,50.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
001 Rouge uni airdry,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,2.00,89.00,38.00,3.00
026 Orange fluo,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,34.00,84.00,0.00
034 LG Eclipse,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,95.00,65.00,0.00,53.00
044 Cyan process,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,66.00,0.00,4.80,0.00
046 Yellow process,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,0.00,83.00,0.00
049 Gris souris,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,2.00,1.50,0.00,13.00
062 Rust,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,48.00,49.00,76.00,0.00
077 Or vert,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,31.50,34.00,73.00,0.00
100 Pms 541c,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,62.00,28.00,14.00,0.00
110 Ultra ffbleu,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,100.00,70.00,0.00,5.00
142 Bambu,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,4.50,1.00,12.00,0.00
149 Eams orange,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,17.00,63.00,78.00,0.00
151 Cocquille d oeuf,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,1.70,8.00,0.00
153 Pervenche,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,54.00,23.50,0.00,0.00
155 Lavande,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,39.00,23.00,4.00,0.00
162 Eucalyptus,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,0.00,24.00,11.00
179 Rose gomme,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,11.00,1.90,0.00
191 Coquille d oeuf,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,1.70,8.00,0.00
191 Givre,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,0.00,6.00,10.20
199 Cafe late,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,1.00,6.00,19.00,14.80
243_LG_Cricket,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,82.00,0.00,44.00,0.00
263 LG Mousse d'hiver,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,2.00,71.00,47.00
348 LG Nuit d olive,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,67.00,54.00,80.00,1.00
375 LG Étoile bleue,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,12.00,3.00,4.00,0.00
610 Rose sorbet,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,6.00,62.00,12.00,0.00
611 Blue atoll,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,44.00,0.00,7.00,0.00
613 India ink,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,10.00,5.00,10.00,70.00
643 Vert fluo Ap Digi,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,20.00,0.00,54.00,0.00
650 Vert usa,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,29.00,16.00,50.00,0.00
653 Truffe,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,34.00,52.00,57.00
655 Moisson,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,3.50,6.00,33.00,0.00
673 Grège,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,1.00,3.00,6.00,4.00
764 Violette Africaine,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,12.00,20.00,0.00,0.00
765 Wild Lime,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,3.00,0.00,41.00,0.00
788 Safety pink,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,38.00,22.00,0.00
BEIGE,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,9.00,11.00,16.00,0.00
C=28 M=40 Y=100 K=0,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,28.00,40.00,100.00,0.00
Cyber Yellow 14-0760,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,2.00,92.00,0.00
Doré,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,11.00,18.00,53.00,0.00
Fiery Red 18-1664,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,89.00,86.00,0.00
G2 LEZARD BRAS,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,68.00,16.00,80.00,0.00
G2 LEZARD FONCE,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,84.00,48.00,100.00,0.00
G2 LEZARD GRIS,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,64.00,36.00,50.00,0.00
G2 LEZARD TETE,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,40.00,0.00,60.00,0.00
G2 VERT FONCE,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,72.00,4.00,100.00,0.00
G2 VERT PALE,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,28.00,0.00,50.00,0.00
Green Flash 15-0146,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,23.00,0.00,69.00,0.00
Gris Rideforkaren,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,54.50,30.50,33.00,0.00
NATUREL,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,3.00,3.50,7.00,1.30
PANTONE  Magenta Process C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,4.00,68.00,0.00,0.00
PANTONE 1805 U 1,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,48.00,52.00,16.00
PANTONE 189C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,20.00,3.00,0.00
PANTONE 2705 C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,25.50,12.00,0.00,0.00
PANTONE 274C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,80.00,66.80,6.40,1.80
PANTONE 3298C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,80.00,0.00,71.00,0.00
PANTONE 505C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,80.00,45.00,40.00
PANTONE 5205 C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,40.00,40.20,24.00,11.00
PANTONE 661C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,80.00,18.50,0.00,2.50
PANTONE 667C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,41.00,33.00,10.00,0.00
PANTONE 7433C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,8.80,80.00,6.40,3.20
PANTONE 7447C,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,66.00,51.00,20.00,0.00
PANTONE 7467C/06-11-2012,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,66.00,0.00,16.00,0.00
PANTONE hexachrome MG,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,69.00,0.00,0.00
Purple,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,28.00,44.00,0.00,0.00
Rose LG,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,1.00,69.00,0.00,0.00
Rose TDF,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,18.00,0.00,0.00
Rose fraise,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,10.00,44.00,1.60,0.00
Rose rocheuse,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,1.50,14.00,2.00,3.00
Rouge grenade,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,86.00,48.00,23.50
Rouge special,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,2.00,95.00,70.00,0.00
