nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
PANTONE 500 C,11.00,23.00,10.00,2.00,6.00,22.00,10.00,2.00
PANTONE 500 U,0.00,17.00,13.00,8.00,0.00,17.00,13.00,8.00
PANTONE 5005 C,7.00,25.00,10.00,15.00,6.00,26.00,18.50,8.00
PANTONE 501 C,7.00,17.00,7.00,0.00,5.00,14.00,7.00,0.00
PANTONE 5015 C,7.00,13.00,10.00,0.00,7.00,13.00,10.00,0.00
PANTONE 502 C,6.00,11.00,7.00,0.00,4.00,10.00,7.00,0.00
PANTONE 503 C,2.00,10.00,7.00,0.00,2.00,6.00,5.00,0.00
PANTONE 504 C,18.00,90.00,68.00,53.00,0.00,80.00,68.00,50.00
PANTONE 505 C,15.00,90.00,31.00,35.00,0.00,80.00,45.00,40.00
PANTONE 506 C,10.00,78.00,19.00,32.00,1.50,65.00,37.00,31.00
PANTONE 507 C,7.00,21.00,5.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 508 C,6.00,17.00,5.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 509 C,2.00,13.00,3.00,0.00,2.00,9.00,3.00,0.00
PANTONE 510 C,1.00,10.00,3.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 511 C,47.00,95.00,0.00,25.00,47.00,95.00,0.00,25.00
PANTONE 512 C,40.00,68.00,0.00,0.00,40.00,68.00,0.00,0.00
PANTONE 513 C,32.00,58.00,0.00,0.00,32.00,58.00,0.00,0.00
PANTONE 514 C,10.00,25.00,0.00,0.00,8.00,24.00,0.00,0.00
PANTONE 515 C,5.00,13.00,2.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 516 C,3.00,12.00,1.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 517 C,3.00,9.00,1.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 518 C,57.60,80.00,0.00,32.80,57.60,80.00,0.00,32.80
PANTONE 5185 C,76.00,88.00,60.00,0.00,76.00,88.00,60.00,0.00
PANTONE 519 C,55.00,80.00,0.00,10.00,55.00,80.00,0.00,10.00
PANTONE 5195 C,66.00,75.00,44.00,0.00,42.00,44.50,24.00,24.00
PANTONE 520 C,53.00,71.00,0.00,0.00,53.00,71.00,0.00,0.00
PANTONE 521 C,22.00,29.00,1.00,2.00,18.00,25.00,1.00,2.00
PANTONE 522 C,16.00,20.00,1.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 523 C,9.00,13.00,1.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
